594410.732002; 0.00; 0.00; 0.00
608819.469994; 0.00; 0.00; 0.00
625825.039993; 0.00; 0.00; 0.00
641432.265991; 0.00; 0.00; 0.00
657283.448997; 0.00; 0.00; 0.00
673942.778999; 0.00; 0.00; 0.00
688879.688995; 0.00; 0.00; 0.00
705858.349991; 0.00; 0.00; 0.00
722295.528000; 0.00; 0.00; 0.00
738500.719002; 0.00; 0.00; 0.00
752771.074997; 0.00; 0.00; 0.00
768790.084000; 0.00; 0.00; 0.00
785800.369995; 0.00; 0.00; 0.00
802453.105995; 0.00; 0.00; 0.00
819007.988991; 0.00; 0.00; 0.00
833089.512001; 0.00; 0.00; 0.00
849321.903999; 0.00; 0.00; 0.00
866315.136993; 0.00; 0.00; 0.00
880739.463997; 0.00; 0.00; 0.00
899114.138992; 0.00; 0.00; 0.00
912733.871002; 0.00; 0.00; 0.00
928709.024002; 0.00; 0.00; 0.00
944863.184998; 0.00; 0.00; 0.00
961211.987991; 0.00; 0.00; 0.00
977020.172997; 0.00; 0.00; 0.00
993193.057999; 0.00; 0.00; 0.00
1010468.655998; 0.00; 0.00; 0.00
1024797.209000; 0.00; 0.00; 0.00
1040917.375992; 0.00; 0.00; 0.00
1057270.413994; 0.00; 0.00; 0.00
1074572.480995; 0.00; 0.00; 0.00
1090251.360992; 0.00; 0.00; 0.00
1106924.360992; 0.00; 0.00; 0.00
1120800.869995; 0.00; 0.00; 0.00
1137836.113998; 0.00; 0.00; 0.00
1154532.765991; 0.00; 0.00; 0.00
1168761.697990; 0.00; 0.00; 0.00
1185535.100998; 0.00; 0.00; 0.00
1202352.933998; 0.00; 0.00; 0.00
1217371.926003; 0.00; 0.00; 0.00
1234038.626999; 0.00; 0.00; 0.00
1250691.910995; 0.00; 0.00; 0.00
1267321.279999; 0.00; 0.00; 0.00
1280799.011993; 0.00; 0.00; 0.00
1297395.311996; 0.00; 0.00; 0.00
1312712.112999; 0.00; 0.00; 0.00
1329414.269989; 0.00; 0.00; 0.00
1346749.249001; 0.00; 0.00; 0.00
1360777.562996; 0.00; 0.00; 0.00
1377223.827995; 0.00; 0.00; 0.00
1392792.255989; 0.00; 0.00; 0.00
1409876.223999; 0.00; 0.00; 0.00
1426290.830994; 0.00; 0.00; 0.00
1442548.945992; 0.00; 0.00; 0.00
1456794.350990; 0.00; 0.00; 0.00
1473045.834999; 0.00; 0.00; 0.00
