30386593.407997;  -35.69; -39; 165; 10.42; 2; 3; 1; 
30483105.464996;  -46.00; -39; 166; 11.42; 2; 2; 1; 
30594351.747002;  -45.00; -39; 166; 12.42; 2; 2; 1; 
30688710.162994;  -45.00; -39; 166; 12.42; 2; 2; 1; 
30785932.536995;  -45.00; -39; 166; 12.42; 2; 2; 1; 
30882079.459999;  -44.00; -39; 166; 13.42; 2; 2; 1; 
30992870.814995;  -44.00; -39; 166; 13.42; 2; 2; 1; 
31088743.914993;  -61.43; -39; 167; 14.42; 2; 1; 1; 
31184760.056000;  -61.43; -39; 167; 14.42; 2; 1; 1; 
31281192.094994;  -61.43; -39; 167; 14.42; 2; 1; 1; 
31394179.616997;  -60.43; -39; 167; 15.42; 2; 1; 1; 
31488729.400002;  -60.43; -39; 167; 15.42; 2; 1; 1; 
31584895.659996;  -60.43; -39; 167; 15.42; 2; 1; 1; 
31681698.682991;  -59.43; -39; 167; 16.42; 2; 1; 1; 
31792693.860001;  -59.43; -39; 167; 16.42; 2; 1; 1; 
31888734.031998;  -59.43; -39; 167; 16.42; 2; 1; 1; 
31987699.138000;  -58.43; -39; 167; 17.42; 2; 1; 1; 
32080779.675995;  -58.43; -39; 167; 17.42; 2; 1; 1; 
32194242.926994;  -58.43; -39; 167; 17.42; 2; 1; 1; 
32288765.615997;  -58.43; -39; 167; 17.42; 2; 1; 1; 
32385121.450996;  -58.43; -39; 167; 17.42; 2; 1; 1; 
32481669.503998;  -57.43; -39; 167; 18.42; 2; 1; 1; 
32594159.237999;  -57.43; -39; 167; 18.42; 2; 1; 1; 
32691522.230995;  -57.43; -39; 167; 18.42; 2; 1; 1; 
32786476.973000;  -57.43; -39; 167; 18.42; 2; 1; 1; 
32880797.754997;  -56.43; -39; 167; 19.42; 2; 1; 1; 
32992884.851997;  -56.43; -39; 167; 19.42; 2; 1; 1; 
33090088.294991;  -83.00; -39; 168; 19.42; 2; 0; 1; 
33185169.864998;  -83.00; -39; 168; 19.42; 2; 0; 1; 
33280993.319000;  -56.43; -39; 167; 19.42; 2; 1; 1; 
33392802.204994;  -83.00; -39; 168; 19.42; 2; 0; 1; 
33488784.941002;  -56.43; -39; 167; 19.42; 2; 1; 1; 
33585714.189995;  -82.00; -39; 168; 20.42; 2; 0; 1; 
33681964.759995;  -55.43; -39; 167; 20.42; 2; 1; 1; 
33794514.393997;  -82.00; -39; 168; 20.42; 2; 0; 1; 
33890636.242996;  -82.00; -39; 168; 20.42; 2; 0; 1; 
33985119.196991;  -55.43; -39; 167; 20.42; 2; 1; 1; 
34081413.903992;  -82.00; -39; 168; 20.42; 2; 0; 1; 
34194035.643997;  -55.43; -39; 167; 20.42; 2; 1; 1; 
34290711.621994;  -82.00; -39; 168; 20.42; 2; 0; 1; 
34385329.774002;  -54.43; -39; 167; 21.42; 2; 1; 1; 
34483283.299995;  -81.00; -39; 168; 21.42; 2; 0; 1; 
34595748.438995;  -54.43; -39; 167; 21.42; 2; 1; 1; 
34689108.670998;  -81.00; -39; 168; 21.42; 2; 0; 1; 
34787000.084991;  -54.43; -39; 167; 21.42; 2; 1; 1; 
34880758.706001;  -81.00; 1; 0; -81.00; 293; 0; 0; 
34993066.173996;  -73.00; 1; 0; -73.00; 293; 0; 0; 
35088851.971992;  -66.00; 1; 0; -66.00; 293; 0; 0; 
35187070.221992;  -58.80; 1; -1; -59.00; 293; 1; 0; 
35281885.566994;  -53.80; 1; -1; -54.00; 293; 1; 0; 
35395113.197998;  -48.00; 1; 0; -48.00; 293; 0; 0; 
35488851.451996;  -42.80; 1; -1; -43.00; 293; 1; 0; 
35586373.888000;  -38.80; 1; -1; -39.00; 293; 1; 0; 
35682793.980995;  -34.80; 1; -1; -35.00; 293; 1; 0; 
35794793.200996;  -30.80; 1; -1; -31.00; 293; 1; 0; 
35889204.534996;  -27.80; 1; -1; -28.00; 293; 1; 0; 
35986961.822998;  -25.80; 1; -1; -26.00; 293; 1; 0; 
36081391.317001;  -22.80; 1; -1; -23.00; 293; 1; 0; 
36192804.952995;  -20.80; 1; -1; -21.00; 293; 1; 0; 
36289144.345001;  -18.80; 1; -1; -19.00; 293; 1; 0; 
36384748.225998;  -16.80; 1; -1; -17.00; 293; 1; 0; 
36480735.120995;  -14.80; 1; -1; -15.00; 293; 1; 0; 
36592717.331993;  -12.80; 1; -1; -13.00; 293; 1; 0; 
36689605.930000;  -11.80; 1; -1; -12.00; 293; 1; 0; 
36785676.377998;  -10.81; 0; -1; -11.00; 294; 1; 0; 
36881072.087997;  -9.81; 0; -1; -10.00; 294; 1; 0; 
36994175.902000;  -8.81; 0; -1; -9.00; 294; 1; 0; 
37090883.382996;  -7.81; 0; -1; -8.00; 294; 1; 0; 
37185083.719994;  -6.80; 1; -1; -7.00; 293; 1; 0; 
37281065.667000;  -6.81; 0; -1; -7.00; 294; 1; 0; 
37393034.361000;  -5.81; 0; -1; -6.00; 294; 1; 0; 
37488972.729996;  -4.81; 0; -1; -5.00; 294; 1; 0; 
37587817.515999;  -4.81; 0; -1; -5.00; 294; 1; 1; 
37684068.926994;  -5.00; 7; 0; -5.00; 287; 0; 1; 
37793023.456993;  -5.21; 16; 1; -5.00; 278; -1; 1; 
37891503.995003;  -5.21; 24; 1; -5.00; 270; -1; 1; 
37984794.719002;  -5.44; 31; 2; -5.00; 263; -2; 1; 
