20625544.557999;  3.54;
21296622.185997;  3.01;
21971632.264992;  2.50;
22624658.891998;  2.03;
23298522.849998;  1.63;
23969110.186996;  1.29;
24627554.696999;  1.04;
25296618.781998;  0.87;
25953390.797997;  0.70;
26624825.531998;  0.52;
27299356.308998;  0.44;
27952614.111000;  0.35;
28625065.946999;  0.26;
29297762.187996;  0.17;
29953980.102997;  0.17;
30624647.048996;  0.09;
31282563.942001;  0.09;
31954294.852997;  0.09;
32624680.334000;  0.00;
33282923.528999;  0.00;
33952646.963997;  0.00;
34625803.156998;  0.00;
35280907.763992;  0.00;
35954159.633995;  0.00;
