t; x; y; theta
21731075.636002; 0.00; 0.00; 12.97
21745029.798996; 0.00; 0.00; 13.11
21762150.458000; 0.00; 0.00; 13.28
21776902.067993; 0.00; 0.00; 13.47
21792758.492996; 0.00; 0.00; 13.63
21810486.717003; 0.00; 0.00; 13.82
21824613.934998; 0.00; 0.00; 13.97
21841045.261002; 0.00; 0.00; 14.15
21857389.868996; 0.00; 0.00; 14.33
21873815.905998; 0.00; 0.00; 14.50
21888665.821999; 0.00; 0.00; 14.65
21904811.657997; 0.00; 0.00; 14.83
21922148.884995; 0.00; 0.00; 15.02
21936652.427994; 0.00; 0.00; 15.17
21952984.159004; 0.00; 0.00; 15.35
21971632.264992; 0.00; 0.00; 15.54
21985199.445999; 0.00; 0.00; 15.68
22002883.302994; 0.00; 0.00; 15.83
22016965.644997; 0.00; 0.00; 15.97
22032682.244003; 0.00; 0.00; 16.10
22048820.274994; 0.00; 0.00; 16.26
22067437.871994; 0.00; 0.00; 16.42
22082044.456001; 0.00; 0.00; 16.56
22097976.386993; 0.00; 0.00; 16.71
22114710.464996; 0.00; 0.00; 16.86
22129741.843002; 0.00; 0.00; 16.99
22144732.757996; 0.00; 0.00; 17.12
22162475.759003; 0.00; 0.00; 17.29
22177219.955994; 0.00; 0.00; 17.43
22194165.642998; 0.00; 0.00; 17.58
22210243.874001; 0.00; 0.00; 17.73
22225808.028992; 0.00; 0.00; 17.87
22240782.741997; 0.00; 0.00; 18.01
22257771.626999; 0.00; 0.00; 18.16
22273825.579994; 0.00; 0.00; 18.31
22288630.606003; 0.00; 0.00; 18.44
22304620.976997; 0.00; 0.00; 18.58
22322858.253998; 0.00; 0.00; 18.76
22336831.968994; 0.00; 0.00; 18.88
22353989.918999; 0.00; 0.00; 19.04
22368652.659996; 0.00; 0.00; 19.16
22386787.276001; 0.00; 0.00; 19.34
22400696.707001; 0.00; 0.00; 19.46
22418256.410995; 0.00; 0.00; 19.62
22432712.034996; 0.00; 0.00; 19.75
22450197.173996; 0.00; 0.00; 19.92
22464691.943001; 0.00; 0.00; 20.04
22481743.415001; 0.00; 0.00; 20.20
22496984.176003; 0.00; 0.00; 20.34
22514479.695000; 0.00; 0.00; 20.50
22530947.545998; 0.00; 0.00; 20.65
22544655.350998; 0.00; 0.00; 20.77
22562580.418999; 0.00; 0.00; 20.93
22576696.230995; 0.00; 0.00; 21.06
22594192.315994; 0.00; 0.00; 21.23
22608638.963997; 0.00; 0.00; 21.35
22624658.891998; 0.00; 0.00; 21.50
22644592.324997; 0.00; 0.00; 21.68
22658132.406998; 0.00; 0.00; 21.77
22672730.500992; 0.00; 0.00; 21.87
22688632.922997; 0.00; 0.00; 21.98
22708503.703995; 0.00; 0.00; 22.12
22720660.945999; 0.00; 0.00; 22.21
22736682.480003; 0.00; 0.00; 22.33
22753521.181999; 0.00; 0.00; 22.45
22768724.783997; 0.00; 0.00; 22.56
22787865.653000; 0.00; 0.00; 22.70
22801776.150993; 0.00; 0.00; 22.80
22818456.066994; 0.00; 0.00; 22.91
22834048.832993; 0.00; 0.00; 23.03
22848692.956993; 0.00; 0.00; 23.12
22866260.074997; 0.00; 0.00; 23.26
22880677.553001; 0.00; 0.00; 23.35
22898739.938995; 0.00; 0.00; 23.49
22913659.044998; 0.00; 0.00; 23.59
22928890.431000; 0.00; 0.00; 23.69
22944658.448997; 0.00; 0.00; 23.81
22961650.098000; 0.00; 0.00; 23.93
22976696.026993; 0.00; 0.00; 24.04
22992751.224998; 0.00; 0.00; 24.16
23009718.166000; 0.00; 0.00; 24.28
23026296.923996; 0.00; 0.00; 24.40
23041510.005997; 0.00; 0.00; 24.51
23058646.976997; 0.00; 0.00; 24.63
23074670.341003; 0.00; 0.00; 24.74
23089776.738991; 0.00; 0.00; 24.85
23104713.689995; 0.00; 0.00; 24.96
23123109.393997; 0.00; 0.00; 25.09
23137167.236000; 0.00; 0.00; 25.19
23152740.771996; 0.00; 0.00; 25.29
23170759.614998; 0.00; 0.00; 25.43
23184792.967995; 0.00; 0.00; 25.53
23203445.639000; 0.00; 0.00; 25.66
23217252.298996; 0.00; 0.00; 25.76
23234238.208000; 0.00; 0.00; 25.88
23249219.762993; 0.00; 0.00; 25.99
23265609.594002; 0.00; 0.00; 26.11
23281006.304001; 0.00; 0.00; 26.21
23298522.849998; 0.00; 0.00; 26.34
23313993.809998; 0.00; 0.00; 26.44
23328610.941002; 0.00; 0.00; 26.52
23345376.000999; 0.00; 0.00; 26.63
23362655.180000; 0.00; 0.00; 26.73
23376723.916000; 0.00; 0.00; 26.81
23394035.898003; 0.00; 0.00; 26.92
23409604.528000; 0.00; 0.00; 27.01
23426592.018997; 0.00; 0.00; 27.11
23440883.301994; 0.00; 0.00; 27.19
23458147.632996; 0.00; 0.00; 27.30
23472728.234001; 0.00; 0.00; 27.38
23488823.125999; 0.00; 0.00; 27.48
23505470.216995; 0.00; 0.00; 27.58
23520659.736992; 0.00; 0.00; 27.66
23537813.984001; 0.00; 0.00; 27.77
23554167.000000; 0.00; 0.00; 27.87
23570115.715996; 0.00; 0.00; 27.96
23586617.676003; 0.00; 0.00; 28.06
23601281.374992; 0.00; 0.00; 28.15
23618838.325005; 0.00; 0.00; 28.25
23632681.769997; 0.00; 0.00; 28.33
23648997.908997; 0.00; 0.00; 28.43
23664671.045998; 0.00; 0.00; 28.52
23680997.665001; 0.00; 0.00; 28.62
23697171.535995; 0.00; 0.00; 28.71
23713797.612000; 0.00; 0.00; 28.82
23728655.912003; 0.00; 0.00; 28.91
23744687.104996; 0.00; 0.00; 29.00
23760829.992996; 0.00; 0.00; 29.09
23777276.659996; 0.00; 0.00; 29.20
23796975.173996; 0.00; 0.00; 29.31
23808767.704002; 0.00; 0.00; 29.38
23824662.507996; 0.00; 0.00; 29.47
23842875.000992; 0.00; 0.00; 29.59
23856707.170998; 0.00; 0.00; 29.67
23873615.037003; 0.00; 0.00; 29.77
23889939.544998; 0.00; 0.00; 29.86
23904629.819000; 0.00; 0.00; 29.95
23920854.868996; 0.00; 0.00; 30.05
23937704.529999; 0.00; 0.00; 30.15
23952653.469994; 0.00; 0.00; 30.23
23969110.186996; 0.00; 0.00; 30.34
23984599.743996; 0.00; 0.00; 30.40
24000607.416000; 0.00; 0.00; 30.49
24018547.351997; 0.00; 0.00; 30.57
24032628.482002; 0.00; 0.00; 30.64
24048612.668999; 0.00; 0.00; 30.72
24065461.696999; 0.00; 0.00; 30.80
24080673.794998; 0.00; 0.00; 30.86
24097211.112999; 0.00; 0.00; 30.94
24114878.607002; 0.00; 0.00; 31.03
24128783.071999; 0.00; 0.00; 31.10
24144742.459000; 0.00; 0.00; 31.17
24160944.930000; 0.00; 0.00; 31.25
24176642.040993; 0.00; 0.00; 31.32
24194927.351997; 0.00; 0.00; 31.41
24210461.973000; 0.00; 0.00; 31.49
24225527.188995; 0.00; 0.00; 31.56
24241540.513000; 0.00; 0.00; 31.63
24258191.157997; 0.00; 0.00; 31.71
24272615.309998; 0.00; 0.00; 31.78
24289756.944000; 0.00; 0.00; 31.86
24304976.953003; 0.00; 0.00; 31.94
24321683.120003; 0.00; 0.00; 32.02
24337027.025993; 0.00; 0.00; 32.09
24353787.591003; 0.00; 0.00; 32.17
24370119.949997; 0.00; 0.00; 32.25
24384837.616997; 0.00; 0.00; 32.31
24400637.484993; 0.00; 0.00; 32.39
24416642.173004; 0.00; 0.00; 32.47
24434114.510994; 0.00; 0.00; 32.55
24448658.395996; 0.00; 0.00; 32.62
24466940.155998; 0.00; 0.00; 32.71
24481038.582001; 0.00; 0.00; 32.77
24497073.912994; 0.00; 0.00; 32.84
24512682.128998; 0.00; 0.00; 32.92
24530648.106995; 0.00; 0.00; 33.01
24546701.463997; 0.00; 0.00; 33.09
24560716.263000; 0.00; 0.00; 33.15
24577943.417000; 0.00; 0.00; 33.23
24593251.154991; 0.00; 0.00; 33.31
