Time; Serial.print output 
time, theta error, d0 (error trans)
16976903.046999;  26.5650634766;100.0000000000;
17991343.355999;  1.9408874512;114.8859481812;
18977282.563000;  -1.1681823730;94.5606231689;
19989618.646000;  0.8240966797;73.7075653076;
20977103.074001;  -0.2234497070;59.7649116516;
21987244.945002;  -0.4957580566;48.1186065674;
22980417.432999;  0.7796325684;37.4775161743;
23985361.289000;  -0.3540344238;30.2356739044;
24978695.777002;  -0.5255737305;24.4125213623;
25991263.208998;  0.5119934082;19.1354980469;
26977917.414999;  -0.7004394531;16.3540019989;
27971443.179998;  0.5745544434;12.4274883270;
28978091.035999;  0.8670043945;9.3004779816;
29973380.319000;  -0.3789367676;8.7649536133;
30979785.706001;  -0.3540344238;6.5295872688;
31972489.829000;  0.3874206543;4.3744807243;
32979663.227001;  -0.3279113770;4.2942204475;
33972836.295998;  0.4075622559;2.1384770870;
34978063.437000;  -0.5924377441;2.9418013096;
35970929.299002;  0.6994628906;1.2474704981;
